78,,ADI,NA,,-22.4,15,Africa/Windhoek,2,3352844
79,,ADK,US,,51.88278,-176.64473,America/Adak,-10,0
80,,ADL,AU,,-34.9286212,138.5999594,Australia/Adelaide,9.30,2078025
81,,ADM,US,,34.303055,-97.01945,America/Chicago,-6,4529469
82,,ADN,CO,,5.666667,-75.933334,America/Bogota,-5,3674962
83,,ADO,AU,,-31.016666,137.15,Australia/Adelaide,9.30,0
84,,ADP,LK,,7.336389,81.625275,Asia/Colombo,5.30,1251081
85,,ADQ,US,,57.79,-152.4072222,America/Anchorage,-9,5866583
86,,ADR,US,,33.45,-79.566666,America/New_York,-5,4588718
87,,ADT,US,,34.8,-96.666664,America/Chicago,-6,4529096
88,,ADU,IR,,38.323826,48.42125,Asia/Tehran,3.30,0
89,,ADW,US,,38.816666,-76.86667,America/New_York,-5,0
90,,ADX,GB,,56.36667,-2.866667,Europe/London,0,2644581
91,,ADY,ZA,,-22.666668,29.05,Africa/Johannesburg,2,981827
92,,ADZ,CO,,12.586047,-81.70221,America/Bogota,-5,3670218
93,,AEA,KI,,0.483333,173.85,Pacific/Tarawa,12,0
94,,AEB,CN,,23.71947,106.96777,Asia/Shanghai,8,1794330
95,,AED,US,,58.033333,-152.9,America/Anchorage,-9,5879155
96,,AEE,SS,,10.05667,32.96096,Africa/Juba,3,0
97,,AEG,ID,,1.399722,99.416664,Asia/Jakarta,7,1214618
98,,AEH,TD,,13.851389,20.850834,Africa/Ndjamena,1,0
99,,AEI,ES,,36.1289,-5.441301,Europe/Madrid,1,2522013
100,,AEK,PG,,-7.366667,146.28334,Pacific/Port_Moresby,10,2100468
101,,AEL,US,,43.65,-93.36667,America/Chicago,-6,5016024
102,,AEO,MR,,16.709167,-9.635556,Africa/Nouakchott,0,0
103,,AER,RU,,43.44884,39.941105,Europe/Moscow,3,491422
104,,AES,NO,,62.559643,6.116605,Europe/Oslo,1,3163392
105,,AET,US,,66.56167,-152.65834,America/Anchorage,-9,5879223
106,,AEU,IR,,25.8875,55.041668,Asia/Tehran,3.30,0
107,,AEX,US,,31.3112936,-92.4451371,America/Chicago,-6,4314550
108,,AEY,IS,,65.654564,-18.075068,Atlantic/Reykjavik,0,2633274
109,,AFA,AR,,-34.58917,-68.40056,America/Argentina/Mendoza,-3,3836669
110,,AFD,ZA,,-33.583332,26.883333,Africa/Johannesburg,2,964432
111,,AFI,CO,,6.916667,-75.066666,America/Bogota,-5,3674962
112,,AFL,BR,,-9.872456,-56.104767,America/Cuiaba,-4,6316343
113,,AFN,US,,42.833332,-72.066666,America/New_York,-5,5088061
114,,AFO,US,,42.733334,-110.933334,America/Denver,-7,5828648
115,,AFR,PG,,-9.133333,148.38333,Pacific/Port_Moresby,10,2101332
116,,AFS,UZ,,41.61361,64.233055,Asia/Samarkand,5,0
117,,AFT,SB,,-9.2,160.85,Pacific/Guadalcanal,11,0
118,,AFY,TR,,38.733334,30.6,Europe/Istanbul,3,325303
119,,AFZ,IR,,36.171513,57.60332,Asia/Tehran,3.30,0
120,,AGA,MA,,30.378326,-9.555895,Africa/Casablanca,0,2561668
121,,AGD,ID,,-1.383333,133.86667,Asia/Jayapura,9,1636308
122,,AGE,DE,,53.783333,7.916667,Europe/Berlin,1,2814266
123,,AGF,FR,,44.17361,0.598611,Europe/Paris,1,3038634
124,,AGG,PG,,-4.168611,144.07388,Pacific/Port_Moresby,10,2100765
125,,AGH,SE,,56.2432,12.8615092,Europe/Stockholm,1,2725900
126,,AGI,SR,,5.833333,-56.833332,America/Paramaribo,-3,0
127,,AGJ,JP,,26.589722,127.23805,Asia/Tokyo,9,1856035
128,,AGK,PG,,-6.403333,143.84666,Pacific/Port_Moresby,10,2095091
129,,AGL,PG,,-9.340278,149.15527,Pacific/Port_Moresby,10,2132313
130,,AGM,GL,,65.6,-37.683334,America/Godthab,-3,3424607
131,,AGN,US,,57.503887,-134.58333,America/Juneau,-9,5844374
132,,AGO,US,,33.266666,-93.23333,America/Chicago,-6,4115181
133,,AGP,ES,,36.7196484,-4.4200163,Europe/Madrid,1,2514256
134,,AGQ,GR,,38.604168,21.351944,Europe/Athens,2,252946
135,,AGR,IN,,27.158333,77.962776,Asia/Kolkata,5.30,1279261
136,,AGS,US,,33.474246,-82.00967,America/New_York,-5,4180531
137,,AGT,PY,,-25.5,-54.833332,America/Asuncion,-4,3439101
138,,AGU,MX,,21.701416,-102.31374,America/Mexico_City,-6,4019233
139,,AGV,VE,,9.552222,-69.23333,America/Caracas,-4,0
140,,AGW,AU,,-12.15,142.15,Australia/Brisbane,10,2144209
141,,AGX,IN,,10.828967,72.17987,Asia/Kolkata,5.30,0
142,,AGZ,ZA,,-29.05,18.85,Africa/Johannesburg,2,0
143,,AHB,SA,,18.23429,42.657574,Asia/Riyadh,3,110690
144,,AHC,US,,40.15,-120.13333,America/Los_Angeles,-8,5565015
145,,AHE,PF,,-14.428056,-146.25694,Pacific/Tahiti,-10,0
146,,AHF,US,,40.3,-99.9,America/Chicago,-6,5071348
147,,AHH,US,,45.3,-92.35,America/Chicago,-6,5037649
148,,AHI,ID,,-3.333333,128.91667,Asia/Jayapura,9,1651531
149,,AHL,GY,,2.483333,-59.316666,America/Guyana,-4,0
150,,AHM,US,,0,0,America/Los_Angeles,-8,0
151,,AHN,US,,33.95195,-83.32472,America/New_York,-5,4180386
152,,AHO,IT,,40.630405,8.295891,Europe/Rome,1,3183284
153,,AHS,HN,,15.441667,-84.425,America/Tegucigalpa,-6,0
154,,AHT,US,,51.5,179,America/Adak,-10,0
155,,AHU,MA,,35.17972,-3.836944,Africa/Casablanca,0,2558545
156,,AHW,OM,,31.34292,48.74668,Asia/Muscat,4,0
157,,AHY,MG,,-20.016666,45.533333,Indian/Antananarivo,3,0
158,,AHZ,FR,,45.083332,6.083333,Europe/Paris,1,3008406
159,,AIA,US,,42.051666,-102.80666,America/Denver,-7,5693164
160,,AIB,US,,56.233334,-132.38333,America/Sitka,-9,0
161,,AIC,MH,,7.5,170.83333,Pacific/Majuro,12,0
162,,AID,US,,40.166668,-85.683334,America/Indiana/Indianapolis,-5,4917592
163,,AIE,PG,,-5.166667,144.66667,Pacific/Port_Moresby,10,0
164,,AIF,BR,,-22.666668,-50.416668,America/Sao_Paulo,-3,3471374
165,,AIG,CF,,6.516667,23.25,Africa/Bangui,1,0
166,,AIH,PG,,-7.348611,141.26639,Pacific/Port_Moresby,10,2101258
167,,AII,DJ,,11.15,42.716667,Africa/Djibouti,3,0
168,,AIK,US,,33.566666,-81.71667,America/New_York,-5,4575352
169,,AIL,PA,,9.25,-78.083336,America/Panama,-5,0
170,,AIM,MH,,10.2,169.98334,Pacific/Majuro,12,0
171,,AIN,US,,70.63333,-160.03334,America/Anchorage,-9,5877543
172,,AIO,US,,41.4,-95.01667,America/Chicago,-6,5074472
173,,AIP,MH,,7.266667,168.81667,Pacific/Majuro,12,0
174,,AIR,BR,,-10.25,-59.38333,America/Cuiaba,-4,0
175,,AIS,KI,,-2.65,176.83333,Pacific/Tarawa,12,0
176,,AIT,CK,,-18.829443,-159.767,Pacific/Rarotonga,-10,0
177,,AIU,CK,,-20.033333,-158.1,Pacific/Rarotonga,-10,0
178,,AIV,US,,33.13333,-88.15,America/Chicago,-6,4829885
179,,AIW,NA,,-27.983334,17.583332,Africa/Windhoek,2,0
180,,AIY,US,,39.36,-74.45722,America/New_York,-5,4500546
181,,AIZ,US,,38.09833,-92.54722,America/Chicago,-6,4402040
182,,AJA,FR,,41.91987,8.794013,Europe/Paris,1,3038334
183,,AJF,SA,,29.788668,40.101486,Asia/Riyadh,3,0
184,,AJI,TR,,39.65,43.025,Europe/Istanbul,3,309647
185,,AJJ,MR,,19.730556,-14.374444,Africa/Nouakchott,0,0
186,,AJK,IR,,34.13333,49.833332,Asia/Tehran,3.30,7431358
187,,AJL,IN,,23.838985,92.62482,Asia/Kolkata,5.30,0
188,,AJN,KM,,-12.126389,44.42972,Indian/Comoro,3,0
189,,AJR,SE,,65.59139,19.285557,Europe/Stockholm,1,2725136
190,,AJS,MX,,26.833332,-113.666664,America/Mazatlan,-7,0
191,,AJU,BR,,-10.987206,-37.072792,America/Maceio,-3,3471872
192,,AJY,NE,,16.964167,7.993056,Africa/Niamey,1,0
193,,AKA,CN,,32.7091,108.936,Asia/Shanghai,8,1789065
194,,AKB,US,,52.21722,-174.20084,America/Adak,-10,5879729
195,,AKD,IN,,20.666668,77.083336,Asia/Kolkata,5.30,0
196,,AKE,GA,,-1.172222,13.916667,Africa/Libreville,1,0
197,,AKF,LY,,24.2,23.333332,Africa/Tripoli,2,0
198,,AKG,PG,,-3.633333,142.01666,Pacific/Port_Moresby,10,0
199,,AKH,SA,,24.063334,47.580555,Asia/Riyadh,3,0
200,,AKI,US,,60.905556,-161.22333,America/Anchorage,-9,5878993
201,,AKJ,JP,,43.67109,142.45454,Asia/Tokyo,9,2130629
202,,AKK,US,,56.944443,-154.16667,America/Anchorage,-9,5878982
203,,AKL,NZ,,-36.8484597,174.7633315,Pacific/Auckland,12,2193733
204,,AKM,TD,,10.883333,19.816668,Africa/Ndjamena,1,2424121
205,,AKN,US,,58.68274,-156.66902,America/Anchorage,-9,5866330
206,,AKO,US,,40.166668,-103.21667,America/Denver,-7,0
207,,AKP,US,,68.1375,-151.74,America/Anchorage,-9,0
208,,AKQ,ID,,-4.616667,105.23333,Asia/Jakarta,7,1624917
209,,AKR,NG,,7.25,5.083333,Africa/Lagos,1,2350841
210,,AKS,SB,,-8.697778,160.68083,Pacific/Guadalcanal,11,2109701
211,,AKT,CY,,34.583332,32.983334,Asia/Nicosia,2,0
212,,AKU,CN,,41.259983,80.29262,Asia/Shanghai,8,1529660
213,,AKV,CA,,60.733334,-78.583336,America/Montreal,-5,5882994
214,,AKW,IR,,30.75,49.683334,Asia/Tehran,3.30,0
215,,AKX,KZ,,50.249336,57.211403,Asia/Aqtobe,5,610611
216,,AKY,MM,,20.130278,92.88028,Asia/Rangoon,6.30,1295765
217,,ALA,KZ,,43.255058,76.912628,Asia/Almaty,6,1526384
218,,ALB,US,,42.6525793,-73.7562317,America/New_York,-5,5106834
219,,ALC,ES,,38.34521,-0.4809945,Europe/Madrid,1,2521978
220,,ALD,PE,,-11.683333,-69.333336,America/Lima,-5,0
221,,ALE,US,,30.416668,-103.75,America/Chicago,-6,5516203
222,,ALF,NO,,69.977165,23.355808,Europe/Oslo,1,847633
223,,ALG,DZ,,36.70058,3.21167,Africa/Algiers,1,2507480
224,,ALH,AU,,-34.944996,117.804,Australia/Perth,8,2077963
225,,ALI,US,,27.75,-98.066666,America/Chicago,-6,4670234
226,,ALJ,ZA,,-28.567223,16.536388,Africa/Johannesburg,2,0
227,,ALK,ET,,7.966667,39.11667,Africa/Addis_Ababa,3,0
228,,ALL,IT,,44.05,8.216667,Europe/Rome,1,3183343
229,,ALM,US,,32.8995325,-105.960265,America/Denver,-7,5454627
230,,ALN,US,,38.891666,-90.04833,America/Chicago,-6,4407066
231,,ALO,US,,42.55611,-92.39972,America/Chicago,-6,4880889
232,,ALP,SY,,36.185352,37.227074,Asia/Damascus,2,170063
233,,ALQ,BR,,-29.799723,-55.763332,America/Sao_Paulo,-3,0
234,,ALR,NZ,,-45.21389,169.36945,Pacific/Auckland,12,2184707
235,,ALS,US,,37.43667,-105.86667,America/Denver,-7,5411479
236,,ALT,BR,,-1.933333,-54.766666,America/Santarem,-3,3407980
237,,ALU,SO,,11.966667,50.8,Africa/Mogadishu,3,0
238,,ALW,US,,46.094723,-118.291115,America/Los_Angeles,-8,5814916
239,,ALX,US,,32.933334,-85.95,America/Chicago,-6,4829843
240,,ALY,EG,,31.2135,29.9443,Africa/Cairo,2,361058
241,,ALZ,US,,56.895832,-154.24583,America/Anchorage,-9,0
242,,AMA,US,,35.2219971,-101.8312969,America/Chicago,-6,5516233
243,,AMB,MG,,-13.183333,48.983334,Indian/Antananarivo,3,0
244,,AMC,TD,,11.033333,20.283333,Africa/Ndjamena,1,0
245,,AMD,IN,,23.06639,72.62417,Asia/Kolkata,5.30,1279233
246,,AME,MZ,,-15.833333,37.583332,Africa/Maputo,2,0
247,,AMF,PG,,-4.166667,141.66667,Pacific/Port_Moresby,10,2100991
248,,AMG,PG,,-4.616667,143.7,Pacific/Port_Moresby,10,0
249,,AMH,ET,,6.036111,37.576942,Africa/Addis_Ababa,3,0
250,,AMI,ID,,-8.563165,116.10237,Asia/Makassar,8,0
251,,AMJ,BR,,-16.183332,-40.683334,America/Sao_Paulo,-3,0
252,,AML,PA,,8.266667,-82.86667,America/Panama,-5,3711668
253,,AMM,JO,,31.722534,35.98932,Asia/Amman,2,250441
254,,AMN,US,,43.38333,-84.65,America/Detroit,-5,4998830
255,,AMO,TD,,14.116667,15.316667,Africa/Ndjamena,1,2428394
256,,AMP,MG,,-24.7,44.733334,Indian/Antananarivo,3,0
257,,AMQ,ID,,-3.704996,128.08888,Asia/Jayapura,9,1651531
258,,AMR,MH,,7.033333,171.23334,Pacific/Majuro,12,0
259,,AMS,NL,,52.3730556,4.8922222,Europe/Amsterdam,1,2759794
260,,AMT,AU,,-26.766666,132.03334,Australia/Adelaide,9.30,0
261,,AMU,PG,,-3.516667,141.15,Pacific/Port_Moresby,10,2100976
262,,AMV,RU,,69.76667,61.55,Europe/Moscow,3,0
263,,AMW,US,,41.994167,-93.61833,America/Chicago,-6,4846834
264,,AMX,AU,,-21.74,135.24,Australia/Darwin,9.30,0
265,,AMY,MG,,-17.683332,45.666668,Indian/Antananarivo,3,0
266,,AMZ,NZ,,-37.033333,174.96666,Pacific/Auckland,12,2193733
267,,ANA,US,,33.816666,-117.933334,America/Los_Angeles,-8,5323810
268,,ANB,US,,33.6598257,-85.8316318,America/Chicago,-6,4081914
269,,ANC,US,,61.2180556,-149.9002778,America/Anchorage,-9,5879400
270,,AND,US,,34.49361,-82.71,America/New_York,-5,4569298
271,,ANE,FR,,47.478419,-0.563166,Europe/Paris,1,3037656
272,,ANF,CL,,-23.449,-70.44079,America/Santiago,-4,3899539
273,,ANG,FR,,45.733334,0.216667,Europe/Paris,1,3027064
274,,ANH,SB,,-8.983333,160.5,Pacific/Guadalcanal,11,0
275,,ANI,US,,61.574398,-159.53697,America/Anchorage,-9,5879487
276,,ANJ,CG,,-2.85,13.833333,Africa/Brazzaville,1,2254814
277,,ANK,TR,,39.866667,39.866667,Europe/Istanbul,3,323786
278,,ANL,AO,,-11.25,17.25,Africa/Luanda,1,0
279,,ANM,MG,,-15,50.316666,Indian/Antananarivo,3,1071296
280,,ANN,US,,55.036945,-131.57056,America/Sitka,-9,5554428
281,,ANO,MZ,,-16.177778,39.936943,Africa/Maputo,2,0
282,,ANP,US,,38.983334,-76.5,America/New_York,-5,4140963
283,,ANQ,US,,41.63333,-85,America/Indiana/Indianapolis,-5,4917614
284,,ANR,BE,,51.21992,4.39625,Europe/Brussels,1,2803138
285,,ANS,PE,,-13.716667,-73.355835,America/Lima,-5,3947740
286,,ANT,AT,,47.15,10.283333,Europe/Vienna,1,0
287,,ANU,AG,,17.108334,-61.76389,America/Antigua,-4,3576022
288,,ANV,US,,62.647778,-160.18889,America/Anchorage,-9,5879553
289,,ANW,US,,42.55,-99.86667,America/Chicago,-6,0
290,,ANX,NO,,69.30492,16.133326,Europe/Oslo,1,3163146
291,,ANY,US,,37.15,-98.03333,America/Chicago,-6,4281730
292,,ANZ,AU,,-25.083332,132.16667,Australia/Darwin,9.30,0
293,,AOA,PG,,-9.05,146.8,Pacific/Port_Moresby,10,2100552
294,,AOB,PG,,-4.916667,144.65,Pacific/Port_Moresby,10,2100742
295,,AOC,DE,,50.983334,12.45,Europe/Berlin,1,2957773
296,,AOD,TD,,11.474722,19.288889,Africa/Ndjamena,1,0
297,,AOG,CN,,41.166668,123.03333,Asia/Shanghai,8,2038632
298,,AOH,US,,40.766666,-84.1,America/New_York,-5,5160783
299,,AOI,IT,,43.60691,13.355723,Europe/Rome,1,3183089
300,,AOJ,JP,,40.738758,140.68922,Asia/Tokyo,9,2130658
301,,AOK,GR,,35.420685,27.146729,Europe/Athens,2,264641
302,,AOL,AR,,-29.683332,-57.15,America/Argentina/Cordoba,-3,3427279
303,,AOM,OM,,40.738758,140.68922,Asia/Muscat,4,289384
304,,AON,PG,,-6.333333,146,Pacific/Port_Moresby,10,2100541
305,,AOO,US,,40.297222,-78.32,America/New_York,-5,5200055
306,,AOP,PE,,-2.90464,-76.40236,America/Lima,-5,3699659
307,,AOR,MY,,6.201171,100.405266,Asia/Kuala_Lumpur,8,1736309
308,,AOS,US,,57.466667,-153.83333,America/Anchorage,-9,0
309,,AOT,IT,,45.73861,7.3625,Europe/Rome,1,3182997
